"Format","MoTeC CSV File",,,"Workbook","Samples"
"Venue","spa",,,"Worksheet","Graph"
"Vehicle","ks_porsche_911_gt3_r_2016",,,"Vehicle Desc",""
"Driver","xxzerpia23",,,"Engine ID",""
"Device","ADL"
"Comment","Tires: Slick Soft (S)",,,"Session","PRACTICE"
"Log Date","6/12/2026",,,"Origin Time","139.249","s"
"Log Time","1:02:00 AM",,,"Start Time","139.250","s"
"Sample Rate","20.000","Hz",,"End Time","281.100","s"
"Duration","141.850","s",,"Start Distance","6607","m"
"Range","Lap 1",,,"End Distance","13562","m"


"Engine RPM","Ground Speed","Throttle Pos","Brake Pos","Steering Angle","Lap Time"
"rpm","km/h","%","%","deg","s"


"8540","231.73","100.00","0.00","-0.28","20.16"
"8546","232.14","100.00","0.00","0.00","20.21"
"8551","232.48","100.00","0.00","0.84","20.25"
"8574","232.89","100.00","0.00","0.56","20.31"
"8596","233.22","100.00","0.00","-0.28","20.35"
"8608","233.63","100.00","0.00","0.00","20.41"
"8606","234.04","100.00","0.00","0.28","20.46"
"8614","234.36","100.00","0.00","0.84","20.50"
"8645","234.76","100.00","0.00","-0.28","20.56"
"8662","235.06","100.00","0.00","-0.28","20.60"
"8671","235.44","100.00","0.00","-0.56","20.66"
"8678","235.84","100.00","0.00","-0.28","20.71"
"8689","236.16","100.00","0.00","-0.28","20.75"
"8703","236.54","100.00","0.00","-0.28","20.81"
"8720","236.85","100.00","0.00","-0.56","20.85"
"8727","237.22","100.00","0.00","-1.12","20.91"
"8740","237.59","100.00","0.00","-2.19","20.96"
"8749","237.88","100.00","0.00","-3.30","21.00"
"8767","238.26","100.00","0.00","-4.37","21.06"
"8791","238.53","100.00","0.00","-4.37","21.10"
"8366","238.35","100.00","0.00","-4.93","21.16"
"7452","238.65","100.00","0.00","-4.93","21.20"
"7463","238.95","100.00","0.00","-5.49","21.26"
"7462","239.22","100.00","0.00","-6.56","21.30"
"7472","239.51","100.00","0.00","-7.67","21.36"
"7486","239.76","100.00","0.00","-8.18","21.40"
"7503","240.04","100.00","0.00","-8.74","21.45"
"7516","240.28","100.00","0.00","-8.74","21.50"
"7516","240.57","100.00","0.00","-9.86","21.56"
"7519","240.85","100.00","0.00","-10.93","21.61"
"7523","241.07","100.00","0.00","-12.04","21.66"
"7547","241.31","100.00","0.00","-13.67","21.71"
"7548","241.51","100.00","0.00","-14.23","21.75"
"7545","241.70","100.00","0.00","-14.23","21.80"
"7553","241.91","100.00","0.00","-14.23","21.85"
"7563","242.11","100.00","0.00","-14.74","21.91"
"7571","242.26","100.00","0.00","-15.86","21.95"
"7571","242.43","100.00","0.00","-17.48","22.01"
"7571","242.55","100.00","0.00","-17.48","22.06"
"7585","242.69","100.00","0.00","-16.93","22.11"
"7593","242.80","100.00","0.00","-15.86","22.16"
"7588","242.93","100.00","0.00","-13.67","22.21"
"7587","243.00","100.00","0.00","-12.32","22.26"
